id,keyword,category,search_intent,suggested_title,slug,primary_link,secondary_links,status,publish_date,published_url
1,"how many chickens do I need for a family of 4",chickens-eggs,informational,"How Many Chickens Do You Need for a Family of 4?",blog/how-many-chickens-family-of-4.html,"/calculators/egg-production.html","/calculators/chicken-coop-size.html;/calculators/chicken-feed.html",pending,,
2,"how big of a garden to feed a family of 4",gardening-planning,informational,"How Big a Garden Do You Need to Feed a Family of 4?",blog/garden-size-family-of-4.html,"/calculators/garden-yield.html","/blog/garden-yield-guide.html;/calculators/land-requirement.html",pending,,
3,"how much hay does a goat eat per day",livestock,informational,"How Much Hay Does a Goat Eat Per Day?",blog/hay-per-goat-per-day.html,"/calculators/goat-sheep-feed.html","/printables/livestock-hay-guide.html",pending,,
4,"water bath vs pressure canning",food-preservation,commercial-investigation,"Water Bath vs Pressure Canning: Which Foods Need Which",blog/water-bath-vs-pressure-canning.html,"/calculators/canning-scaler.html","/calculators/dehydrator.html",pending,,
5,"how much butter from a gallon of cream",dairy-kitchen,informational,"How Much Butter From a Gallon of Cream?",blog/butter-from-gallon-cream.html,"/calculators/butter-making.html","/blog/cheese-making-guide.html",pending,,
6,"how many solar panels to run a refrigerator",energy-offgrid,informational,"How Many Solar Panels to Run a Refrigerator?",blog/solar-panels-for-refrigerator.html,"/calculators/solar-power.html","/printables/solar-power-reference.html;/blog/solar-power-guide.html",pending,,
7,"browns to greens ratio by volume",composting-soil,informational,"Browns to Greens: The Easy Volume Ratio for Compost",blog/browns-greens-ratio.html,"/calculators/compost-mix.html","/blog/compost-guide.html",pending,,
8,"how much honey does one hive produce",beekeeping,informational,"How Much Honey Does One Hive Produce Per Year?",blog/honey-per-hive.html,"/calculators/honey-yield.html","/blog/honey-yield-guide.html",pending,,
9,"how much rainwater can I collect from my roof",water-rain,informational,"How Much Rainwater Can Your Roof Collect? The Simple Math",blog/rainwater-from-roof.html,"/calculators/rainwater-harvest.html","/printables/rainwater-harvest-cheat-sheet.html",pending,,
10,"how many apples does one tree produce",orchard-fruit,informational,"How Many Apples Does One Tree Produce?",blog/apples-per-tree.html,"/calculators/fruit-tree-yield.html","/calculators/cider-making.html",pending,,
11,"how many apples for a gallon of cider",brewing-ferment,informational,"How Many Apples for a Gallon of Cider?",blog/apples-per-gallon-cider.html,"/calculators/cider-making.html","/calculators/fruit-tree-yield.html",pending,,
12,"growing oyster mushrooms on straw",mushrooms-hydro,informational,"Growing Oyster Mushrooms on Straw: Start to Harvest",blog/oyster-mushrooms-straw.html,"/calculators/mushroom-growing.html","/calculators/hydroponic-system.html;/blog/hydroponics-guide.html",pending,,
13,"how much fencing for 1 acre",land-planning,informational,"How Much Fencing for 1 Acre? Perimeter Math and Materials",blog/fencing-for-1-acre.html,"/calculators/fencing-calculator.html","/calculators/self-sufficiency-score.html;/calculators/fencing-calculator.html",pending,,
14,"how much feed does a chicken eat per day",chickens-eggs,informational,"How Much Feed Does a Chicken Eat Per Day? Real Numbers",blog/chicken-feed-per-day.html,"/calculators/chicken-feed.html","/calculators/egg-production.html;/printables/chicken-feed-chart.html",pending,,
15,"how many tomato plants per person",gardening-planning,informational,"How Many Tomato Plants Per Person? Fresh Eating vs Canning",blog/tomato-plants-per-person.html,"/calculators/garden-yield.html","/calculators/plant-spacing.html;/calculators/canning-scaler.html",pending,,
16,"how many goats per acre",livestock,informational,"How Many Goats Per Acre? Stocking Rates by Forage",blog/goats-per-acre.html,"/calculators/land-requirement.html","/calculators/goat-sheep-feed.html",pending,,
17,"how long to dehydrate apples",food-preservation,informational,"How Long to Dehydrate Apples (Time and Temperature)",blog/dehydrate-apples-time.html,"/calculators/dehydrator.html","/calculators/fruit-tree-yield.html",pending,,
18,"how much cheese from a gallon of milk",dairy-kitchen,informational,"How Much Cheese From a Gallon of Milk? By Cheese Type",blog/cheese-from-gallon-milk.html,"/calculators/cheese-making.html","/calculators/goat-cheese-yield.html",pending,,
19,"how much firewood do I need for winter",energy-offgrid,informational,"How Much Firewood for Winter? Cords by Climate and Home Size",blog/firewood-for-winter.html,"/calculators/firewood-requirement.html","/calculators/firewood-requirement.html;/printables/solar-power-reference.html",pending,,
20,"why is my compost not heating up",composting-soil,informational,"Why Your Compost Is Not Heating Up (and How to Fix It)",blog/compost-not-heating.html,"/calculators/compost-temperature.html","/printables/compost-cn-ratio-chart.html",pending,,
21,"when to harvest honey first year",beekeeping,informational,"Should You Harvest Honey the First Year?",blog/first-year-honey-harvest.html,"/calculators/honey-yield.html","/calculators/honey-yield.html;/blog/honey-yield-guide.html",pending,,
22,"rain barrel vs cistern",water-rain,commercial-investigation,"Rain Barrel or Cistern? Choosing the Right Storage Size",blog/rain-barrel-vs-cistern.html,"/calculators/rainwater-harvest.html","/blog/rainwater-harvesting-guide.html",pending,,
23,"dwarf vs semi dwarf fruit trees",orchard-fruit,commercial-investigation,"Dwarf vs Semi-Dwarf Fruit Trees: Size, Yield, Lifespan",blog/dwarf-vs-semi-dwarf.html,"/calculators/fruit-tree-yield.html","/calculators/plant-spacing.html",pending,,
24,"how to calculate abv hard cider",brewing-ferment,informational,"Calculating ABV for Hard Cider With a Hydrometer",blog/calculate-cider-abv.html,"/calculators/cider-making.html","/calculators/wine-making.html;/blog/wine-making-guide.html",pending,,
25,"mushroom grow kit vs diy substrate",mushrooms-hydro,commercial-investigation,"Mushroom Kits vs DIY Substrate: Cost Per Pound",blog/kit-vs-diy-substrate.html,"/calculators/mushroom-growing.html","/calculators/hydroponic-system.html;/blog/hydroponics-guide.html",pending,,
26,"electric fence for goats how many strands",land-planning,informational,"Electric Fencing for Goats: Strand Count and Spacing",blog/electric-fence-goats.html,"/calculators/fencing-calculator.html","/calculators/goat-sheep-feed.html",pending,,
27,"chicken coop size for 10 chickens",chickens-eggs,informational,"Chicken Coop Size for 10 Chickens: Dimensions That Work",blog/coop-size-10-chickens.html,"/calculators/chicken-coop-size.html","/calculators/chicken-feed.html;/blog/chicken-feed-guide.html",pending,,
28,"when to start seeds indoors zone 6",gardening-planning,informational,"When to Start Seeds Indoors in Zone 6: Full Schedule",blog/seed-starting-zone-6.html,"/calculators/seed-starting.html","/calculators/frost-date.html;/blog/seed-starting-guide.html",pending,,
29,"how much water does a cow drink per day",livestock,informational,"How Much Water Does a Cow Drink Per Day?",blog/cow-water-per-day.html,"/calculators/livestock-water.html","/calculators/hay-forage.html",pending,,
30,"how many tomatoes for a quart of sauce",food-preservation,informational,"How Many Tomatoes Make a Quart of Sauce?",blog/tomatoes-per-quart-sauce.html,"/calculators/canning-scaler.html","/calculators/garden-yield.html",pending,,
31,"sourdough starter feeding ratio",dairy-kitchen,informational,"Sourdough Starter Feeding Ratios: 1:1:1 vs 1:5:5",blog/sourdough-feeding-ratio.html,"/calculators/bread-baking.html","/calculators/butter-making.html;/calculators/bread-baking.html",pending,,
32,"greenhouse heating cost per month",energy-offgrid,commercial-investigation,"What It Costs to Heat a Greenhouse Each Month",blog/greenhouse-heating-cost.html,"/calculators/greenhouse-heater.html","/calculators/firewood-requirement.html",pending,,
33,"composting chicken manure how long",composting-soil,informational,"Composting Chicken Manure: How Long Before It Is Safe",blog/composting-chicken-manure.html,"/calculators/compost-mix.html","/calculators/chicken-coop-size.html",pending,,
34,"how much does it cost to start beekeeping",beekeeping,commercial-investigation,"Startup Costs for Beekeeping: A Realistic Budget",blog/beekeeping-startup-cost.html,"/calculators/beehive-management.html","/calculators/honey-yield.html",pending,,
